キャリア,メーカー,端末名,画面解像度：横,画面解像度：縦,発売日
Softbank,シャープ,Disney Mobile on SoftBank DM014SH,720,1280,2013/03/01
Softbank,シャープ,AQUOS PHONE Xx 203SH,720,1280,2013/03/08
Softbank,富士通,ARROWS A 201F,720,1280,2013/02/16
Softbank,京セラ,HONEY BEE_ 201K,480,800,2013/01/25
Softbank,シャープ,PANTONE_ 6 200SH,720,1280,2012/12/21
Softbank,シャープ,Disney Mobile on SoftBank DM013SH,480,854,2012/12/14
au,HTC,HTC J butterfly HTL21,1080,1920,2012/12/09
docomo,シャープ,SH-01E Vivienne Westwood,540,960,2012/12/08
docomo,Huawei,Ascend HW-01E,720,1280,2012/11/21
au,京セラ,DIGNO S KYL21,720,1280,2012/11/09
au,ソニーモバイルコミュニケーションズ,Xperia™ VL SOL21,720,1280,2012/11/02
au,サムスン,GALAXY SIII Progre SCL21,720,1280,2012/11/02
au,シャープ,AQUOS PHONE SERIE SHL21,720,1280,2012/11/02
au,富士通,ARROWS ef FJL21,720,1280,2012/11/02
au,LG,Optimus G LGL21,720,1280,2012/11/02
au,パンテック&キュリテル,VEGA PTL21,720,1280,2012/11/02
au,NECカシオ,G'zOne TYPE-L CAL21,480,800,2012/11/02
Softbank,Motorola,MOTOROLA RAZR™ M 201M,540,960,2012/10/26
docomo,LG,Optimus G L-01E,720,1280,2012/10/19
Softbank,Huawei,STREAM 201HW,540,960,2012/10/10
docomo,シャープ,AQUOS PHONE si SH-01E,540,960,2012/10/05
au,Pantech,MIRACH IS11PT,480,800,2012/09/22
Softbank,Apple,iPhone5,640,1136,2012/09/21
au,Apple,iPhone5,640,1136,2012/09/21
docomo,パナソニック,ELUGA Live P-08D,800,1280,2012/09/01
docomo,シャープ,AQUOS PHONE sv SH-10D,720,1280,2012/08/30
docomo,富士通,ARROWS Me F-11D,480,800,2012/08/15
docomo,ソニーモバイルコミュニケーションズ,Xperia SX SO-05D,540,960,2012/08/10
docomo,パナソニック,ELUGA power P-07D,720,1280,2012/08/10
docomo,ソニーモバイルコミュニケーションズ,Xperia GX SO-04D,720,1280,2012/08/09
docomo,LG,L-06D JOJO,768,1024,2012/08/03
docomo,LG,Optimus Vu L-06D,768,1024,2012/08/03
docomo,富士通,らくらくスマートフォン F-12D,480,800,2012/08/01
Softbank,富士通,ARROWS A 101F,540,960,2012/07/28
docomo,富士通,REGZA Phone T-02D,540,960,2012/07/26
au,シャープ,AQUOS PHONE CL IS17SH,540,960,2012/07/20
au,富士通,ARROWS Z ISW13F,720,1280,2012/07/20
docomo,富士通,ARROWS X F-10D,720,1280,2012/07/20
Softbank,シャープ,PANTONE 5 107SH,480,854,2012/07/14
docomo,NECカシオ,MEDIAS X N-07D,720,1280,2012/07/13
docomo,パナソニック,ELUGA V P-06D,720,1280,2012/07/12
Softbank,シャープ,AQUOS PHONE 102SH II,720,1280,2012/07/12
au,シャープ,AQUOS PHONE SL IS15SH,540,960,2012/07/06
Softbank,シャープ,AQUOS PHONE Xx 106SH,720,1280,2012/07/06
docomo,LG,Optimus it L-05D,480,800,2012/06/30
docomo,シャープ,AQUOS PHONE ZETA SH-09D,720,1280,2012/06/29
au,シャープ,AQUOS PHONE SERIE ISW16SH,720,1280,2012/06/28
docomo,富士通,F-09D ANTEPRIMA,480,800,2012/06/27
イー・モバイル,Huawei,GS03,540,960,2012/06/14
docomo,シャープ,AQUOS PHONE st SH-07D,480,854,2012/06/07
au,京セラ,URBANO PROGRESSO,480,800,2012/05/30
au,HTC,HTC J ISW13HT,540,960,2012/05/25
docomo,サムスン,GALAXY Note SC-05D,800,1280,2012/04/06
docomo,シャープ,AQUOS PHONE SH-06D,720,1280,2012/03/23
Softbank,パナソニック,102P,540,960,2012/03/23
docomo,パナソニック,Disney Mobile on docomo P-05D,540,960,2012/03/22
Softbank,Apple,第三世代 iPad(新しいiPad),1536,2048,2012/03/16
au,ソニーモバイルコミュニケーションズ,Xperia acro HD IS12S,720,1280,2012/03/10
イー・モバイル,Dell,Streak Pro GS01,540,960,2012/03/08
Softbank,Dell,DELL Streak Pro 101DL,540,960,2012/03/03
au,Motorola,MOTOROLA RAZR IS12M,540,960,2012/03/01
docomo,ソニーモバイルコミュニケーションズ,Xperia NX SO-02D,720,1280,2012/02/24
Softbank,シャープ,AQUOS PHONE 104SH,720,1280,2012/02/24
docomo,富士通,Disney Mobile on docomo F-08D,720,1280,2012/02/22
docomo,NECカシオ,MEDIAS LTE N-04D,720,1280,2012/02/15
docomo,シャープ,Q-pot.Phone SH-04D,540,960,2012/02/14
au,シャープ,INFOBAR C01,480,854,2012/02/03
Softbank,京セラ,HONEY BEE 101K,480,800,2012/01/27
docomo,LG,PRADA phone by LG L-02D,480,800,2012/01/26
au,サムスン,GALAXY S II WiMAX ISW11SC,720,1280,2012/01/20
au,LG,Optimus X IS11L,480,800,2012/01/20
docomo,富士通,ARROWS μ F-07D,480,800,2012/01/20
Softbank,シャープ,AQUOS PHONE 103SH,540,960,2012/01/20
Softbank,NECカシオ,MEDIAS CH 101N,480,800,2012/01/20
Softbank,パナソニック,LUMIX Phone 101P,540,960,2012/01/14
au,富士通,ARROWS ES IS12F,480,800,2012/01/07
au,シャープ,AQUOS PHONE IS14SH,540,960,2011/12/23
au,NEWカシオ,MEDIAS IS11N,480,800,2011/12/23
docomo,パナソニック,LUMIX Phone P-02D,540,960,2011/12/23
Softbank,ZTE,STAR 7 009Z,480,800,2011/12/22
au,富士通,ARROWS Z ISW11F,720,1280,2011/12/17
docomo,富士通,ARROWS X LTE F-05D,720,1280,2011/12/17
Softbank,シャープ,AQUOS PHONE 102SH,720,1280,2011/12/16
docomo,LG,Optimus LTE L-01D,720,1280,2011/12/15
docomo,サムスン,GALAXY Tab SC-02D,600,1024,2011/12/10
docomo,NEWカシオ,MEDIAS PP N-01D,480,800,2011/12/09
docomo,シャープ,AQUOS PHONE slider SH-02D,540,960,2011/12/07
docomo,サムスン,GALAXY NEXUS SC-04D,720,1280,2011/12/02
docomo,シャープ,AQUOS PHONE SH-01D,720,1280,2011/12/02
au,京セラ,DIGNO ISW11K,480,800,2011/11/29
docomo,富士通,ARROWS Kiss F-03D,480,800,2011/11/25
docomo,サムスン,GALAXY SII LTE SC-03D,480,800,2011/11/24
au,シャープ,AQUOS PHONE IS13SH,540,960,2011/11/18
docomo,富士通,REGZA Phone T-01D,720,1280,2011/11/18
Softbank,シャープ,AQUOS PHONE THE HYBRID 101SH,480,854,2011/11/18
docomo,パナソニック,P-01D,480,800,2011/11/10
ソニー・エリクソン,イー・アクセス,Sony Ericsson mini S51SE,320,480,2011/10/28
docomo,富士通,ARROWS Tab LTE F-01D,800,1280,2011/10/19
docomo,サムスン,GALAXY Tab SC-01D,800,1280,2011/10/15
Softbank,Apple,iPhone 4S,640,960,2011/10/14
au,HTC,HTC EVO 3D ISW12HT,540,960,2011/10/07
au,Motorola,MOTOROLA PHOTON ISW11M,540,960,2011/10/07
Softbank,シャープ,Yahoo! Phone SoftBank 009SH Y,540,960,2011/09/23
イー・モバイル,Huawei,smart bar,480,800,2011/09/22
Softbank,Huawei,Vision SoftBank 007HW,480,800,2011/09/16
イー・モバイル,シャープ,GALAPAGOS A01SH,600,1024,2011/08/30
docomo,ソニーモバイルコミュニケーションズ,Xperia ray SO-03C,480,854,2011/08/27
Softbank,シャープ,AQUOS PHONE THE PREMIUM SoftBank 009SH,540,960,2011/08/26
au,東芝,Windows Phone IS12T,480,800,2011/08/25
Softbank,ZTE,シンプルスマートフォン SoftBank 008Z,480,800,2011/08/17
docomo,パナソニック,P-07C,480,854,2011/08/13
Softbank,パナソニック,Sweety SoftBank 003P,480,854,2011/08/12
docomo,富士通,F-12C,480,800,2011/08/07
docomo,シャープ,AQUOS PHONE f SH-13C,540,960,2011/08/06
au,カシオ,G’zOne IS11CA,480,800,2011/07/14
イー・モバイル,Huawei,Pocket WiFi S II S41HW,320,480,2011/07/14
docomo,ソニーモバイルコミュニケーションズ,Xperia acro SO-02C,480,854,2011/07/09
au,シャープ,INFOBAR A01,540,960,2011/06/30
au,シャープ,AQUOS PHONE IS11SH,540,960,2011/06/24
au,ソニーモバイルコミュニケーションズ,Xperia acro IS11S,480,854,2011/06/24
docomo,NECカシオ,MEDIAS WP N-06C,480,854,2011/06/24
docomo,サムスン,GALAXY S II SC-02C,480,800,2011/06/23
docomo,LG,Optimus bright L-07C,480,800,2011/06/18
Softbank,シャープ,AQUOS PHONE THE HYBRID 007SH,480,854,2011/06/17
Softbank,シャープ,AQUOS PHONE THE HYBRID SoftBank 007SH,480,854,2011/06/17
Softbank,シャープ,AQUOS PHONE SoftBank 006SH,540,960,2011/06/04
docomo,シャープ,AQUOS PHONE SH-12C,540,960,2011/05/20
au,HTC,htc EVO WiMAX ISW11HT,480,800,2011/04/15
au,Motorola,MOTOROLA XOOM Wi-Fi TBi11M,800,1280,2011/04/08
docomo,LG,Optimus Pad L-06C,768,1280,2011/03/31
docomo,ソニーモバイルコミュニケーションズ,Xperia arc SO-01C,480,854,2011/03/24
docomo,NECカシオ,MEDIAS N-04C,480,854,2011/03/15
Softbank,Apple,iPad 2,768,1024,2011/03/11
Softbank,シャープ,GALAPAGOS SoftBank 005SH,480,800,2011/02/25
ディズニー・モバイル,シャープ,DM009SH,480,800,2011/02/18
au,東芝,REGZA Phone IS04,480,854,2011/02/10
イー・モバイル,イー・アクセス,Pocket WiFi S S31HW,240,320,2011/01/14
Softbank,ZTE,Libero SoftBank 003Z,480,800,2010/12/24
au,Pantech,SIRIUSα IS06,480,800,2010/12/23
Softbank,Dell,DELL Streak 001DL,480,800,2010/12/20
docomo,富士通,REGZA Phone T-01C,480,854,2010/12/17